Category,Sample,method,total_reads,proportion
0363146290_S22_L001_R1_001.fastp.fastq.gz,363146290_R1,Fluorescent Quantification,4572,0.099713944
0363146290_S22_L001_R2_001.fastp.fastq.gz,363146290_R1,Fluorescent Quantification,4572,0.099713944
0363146693_S323_L001_R1_001.fastp.fastq.gz,363146693_R1,Fluorescent Quantification,384,0.008374924
0363146693_S323_L001_R2_001.fastp.fastq.gz,363146693_R1,Fluorescent Quantification,384,0.008374924
0363146696_S326_L001_R1_001.fastp.fastq.gz,363146696_R1,Fluorescent Quantification,682,0.014874215
0363146696_S326_L001_R2_001.fastp.fastq.gz,363146696_R1,Fluorescent Quantification,682,0.014874215
0363146697_S317_L001_R1_001.fastp.fastq.gz,363146697_R1,Fluorescent Quantification,31194,0.680331752
0363146697_S317_L001_R2_001.fastp.fastq.gz,363146697_R1,Fluorescent Quantification,31194,0.680331752
0363146705_S328_L001_R1_001.fastp.fastq.gz,363146705_R1,Fluorescent Quantification,9114,0.198773597
0363146705_S328_L001_R2_001.fastp.fastq.gz,363146705_R1,Fluorescent Quantification,9114,0.198773597
0363146707_S325_L001_R1_001.fastp.fastq.gz,363146707_R1,Fluorescent Quantification,12978,0.283046274
0363146707_S325_L001_R2_001.fastp.fastq.gz,363146707_R1,Fluorescent Quantification,12978,0.283046274
0363146712_S327_L001_R1_001.fastp.fastq.gz,363146712_R1,Fluorescent Quantification,11024,0.240430122
0363146712_S327_L001_R2_001.fastp.fastq.gz,363146712_R1,Fluorescent Quantification,11024,0.240430122
0363146714_S324_L001_R1_001.fastp.fastq.gz,363146714_R1,Fluorescent Quantification,110,0.002399067
0363146714_S324_L001_R2_001.fastp.fastq.gz,363146714_R1,Fluorescent Quantification,110,0.002399067
0363146718_S319_L001_R1_001.fastp.fastq.gz,363146718_R1,Fluorescent Quantification,12422,0.270920081
0363146718_S319_L001_R2_001.fastp.fastq.gz,363146718_R1,Fluorescent Quantification,12422,0.270920081
