Category,Sample,method,R1_R2_reads_combined,sample_proportion,R1_R2_read_proportion
0363146697_S317_L001_R1_001.fastp.fastq.gz,363146697_R1,Fluorescent Quantification,62388,1.360663504,1.360663504
0363146989_S76_L001_R1_001.fastp.fastq.gz,363146989_R1,Fluorescent Quantification,60358,1.316389814,1.316389814
0363238270_S45_L001_R1_001.fastp.fastq.gz,363238270_R1,Fluorescent Quantification,54062,1.17907595,1.17907595
0363236818_S356_L001_R1_001.fastp.fastq.gz,363236818_R1,Fluorescent Quantification,47136,1.028021974,1.028021974
0363146966_S354_L001_R1_001.fastp.fastq.gz,363146966_R1,Fluorescent Quantification,46142,1.006343132,1.006343132
0363146934_S78_L001_R1_001.fastp.fastq.gz,363146934_R1,Fluorescent Quantification,41360,0.902049152,0.902049152
0363236847_S123_L001_R1_001.fastp.fastq.gz,363236847_R1,Fluorescent Quantification,41066,0.8956371,0.8956371
0363238245_S29_L001_R1_001.fastp.fastq.gz,363238245_R1,Fluorescent Quantification,40728,0.888265422,0.888265422
0363148365_S260_L001_R1_001.fastp.fastq.gz,363148365_R1,Fluorescent Quantification,39018,0.850970836,0.850970836
0363148399_S364_L001_R1_001.fastp.fastq.gz,363148399_R1,Fluorescent Quantification,36650,0.79932547,0.79932547
0363238237_S69_L001_R1_001.fastp.fastq.gz,363238237_R1,Fluorescent Quantification,35640,0.777297674,0.777297674
0363236824_S116_L001_R1_001.fastp.fastq.gz,363236824_R1,Fluorescent Quantification,35034,0.764080996,0.764080996
0363148374_S253_L001_R1_001.fastp.fastq.gz,363148374_R1,Fluorescent Quantification,34834,0.759719056,0.759719056
0363237549_S126_L001_R1_001.fastp.fastq.gz,363237549_R1,Fluorescent Quantification,34712,0.757058272,0.757058272
0363237596_S113_L001_R1_001.fastp.fastq.gz,363237596_R1,Fluorescent Quantification,32394,0.70650339,0.70650339
0363238263_S77_L001_R1_001.fastp.fastq.gz,363238263_R1,Fluorescent Quantification,31532,0.68770343,0.68770343
0363238239_S61_L001_R1_001.fastp.fastq.gz,363238239_R1,Fluorescent Quantification,31130,0.67893593,0.67893593
0363146867_S353_L001_R1_001.fastp.fastq.gz,363146867_R1,Fluorescent Quantification,31082,0.677889066,0.677889066
0363237557_S125_L001_R1_001.fastp.fastq.gz,363237557_R1,Fluorescent Quantification,31048,0.677147536,0.677147536
0363148433_S357_L001_R1_001.fastp.fastq.gz,363148433_R1,Fluorescent Quantification,30770,0.67108444,0.67108444
0363146983_S291_L001_R1_001.fastp.fastq.gz,363146983_R1,Fluorescent Quantification,30540,0.666068208,0.666068208
0363148388_S205_L001_R1_001.fastp.fastq.gz,363148388_R1,Fluorescent Quantification,28822,0.628599146,0.628599146
0363148406_S115_L001_R1_001.fastp.fastq.gz,363148406_R1,Fluorescent Quantification,28706,0.62606922,0.62606922
0363147006_S26_L001_R1_001.fastp.fastq.gz,363147006_R1,Fluorescent Quantification,28132,0.613550454,0.613550454
0363238228_S28_L001_R1_001.fastp.fastq.gz,363238228_R1,Fluorescent Quantification,27220,0.593660008,0.593660008
0363146926_S314_L001_R1_001.fastp.fastq.gz,363146926_R1,Fluorescent Quantification,26944,0.58764053,0.58764053
0363238299_S53_L001_R1_001.fastp.fastq.gz,363238299_R1,Fluorescent Quantification,26732,0.583016874,0.583016874
0363147005_S25_L001_R1_001.fastp.fastq.gz,363147005_R1,Fluorescent Quantification,26130,0.569887436,0.569887436
0363146707_S325_L001_R1_001.fastp.fastq.gz,363146707_R1,Fluorescent Quantification,25956,0.566092548,0.566092548
0363238247_S30_L001_R1_001.fastp.fastq.gz,363238247_R1,Fluorescent Quantification,25502,0.556190944,0.556190944
0363238236_S47_L001_R1_001.fastp.fastq.gz,363238236_R1,Fluorescent Quantification,25068,0.546725536,0.546725536
0363146718_S319_L001_R1_001.fastp.fastq.gz,363146718_R1,Fluorescent Quantification,24844,0.541840162,0.541840162
0363238254_S340_L001_R1_001.fastp.fastq.gz,363238254_R1,Fluorescent Quantification,24404,0.532243896,0.532243896
0363146938_S335_L001_R1_001.fastp.fastq.gz,363146938_R1,Fluorescent Quantification,24348,0.531022552,0.531022552
0363148409_S190_L001_R1_001.fastp.fastq.gz,363148409_R1,Fluorescent Quantification,24204,0.527881956,0.527881956
0363238229_S75_L001_R1_001.fastp.fastq.gz,363238229_R1,Fluorescent Quantification,23960,0.522560388,0.522560388
0363238256_S58_L001_R1_001.fastp.fastq.gz,363238256_R1,Fluorescent Quantification,23858,0.5203358,0.5203358
0363237565_S124_L001_R1_001.fastp.fastq.gz,363237565_R1,Fluorescent Quantification,23852,0.520204942,0.520204942
0363238244_S85_L001_R1_001.fastp.fastq.gz,363238244_R1,Fluorescent Quantification,23792,0.51889636,0.51889636
0363236834_S133_L001_R1_001.fastp.fastq.gz,363236834_R1,Fluorescent Quantification,23124,0.50432748,0.50432748
0363238285_S67_L001_R1_001.fastp.fastq.gz,363238285_R1,Fluorescent Quantification,23058,0.50288804,0.50288804
0363237541_S159_L001_R1_001.fastp.fastq.gz,363237541_R1,Fluorescent Quantification,23054,0.502800802,0.502800802
0363148370_S147_L001_R1_001.fastp.fastq.gz,363148370_R1,Fluorescent Quantification,22652,0.494033302,0.494033302
0363236782_S152_L001_R1_001.fastp.fastq.gz,363236782_R1,Fluorescent Quantification,22644,0.493858824,0.493858824
0363148394_S259_L001_R1_001.fastp.fastq.gz,363148394_R1,Fluorescent Quantification,22602,0.492942818,0.492942818
0363148384_S227_L001_R1_001.fastp.fastq.gz,363148384_R1,Fluorescent Quantification,22566,0.492157668,0.492157668
0363238288_S73_L001_R1_001.fastp.fastq.gz,363238288_R1,Fluorescent Quantification,22444,0.489496886,0.489496886
0363146959_S290_L001_R1_001.fastp.fastq.gz,363146959_R1,Fluorescent Quantification,22180,0.483739124,0.483739124
0363146712_S327_L001_R1_001.fastp.fastq.gz,363146712_R1,Fluorescent Quantification,22048,0.480860244,0.480860244
0363146928_S1_L001_R1_001.fastp.fastq.gz,363146928_R1,Fluorescent Quantification,21920,0.478068602,0.478068602
0363238240_S44_L001_R1_001.fastp.fastq.gz,363238240_R1,Fluorescent Quantification,21766,0.47470991,0.47470991
0363236855_S148_L001_R1_001.fastp.fastq.gz,363236855_R1,Fluorescent Quantification,21330,0.46520088,0.46520088
0363146831_S362_L001_R1_001.fastp.fastq.gz,363146831_R1,Fluorescent Quantification,21310,0.464764686,0.464764686
0363146865_S318_L001_R1_001.fastp.fastq.gz,363146865_R1,Fluorescent Quantification,21052,0.459137784,0.459137784
0363146995_S292_L001_R1_001.fastp.fastq.gz,363146995_R1,Fluorescent Quantification,20640,0.450152188,0.450152188
0363238227_S49_L001_R1_001.fastp.fastq.gz,363238227_R1,Fluorescent Quantification,20586,0.448974464,0.448974464
0363237558_S127_L001_R1_001.fastp.fastq.gz,363237558_R1,Fluorescent Quantification,20494,0.446967972,0.446967972
0363146972_S332_L001_R1_001.fastp.fastq.gz,363146972_R1,Fluorescent Quantification,20400,0.44491786,0.44491786
0363146997_S337_L001_R1_001.fastp.fastq.gz,363146997_R1,Fluorescent Quantification,20274,0.442169838,0.442169838
0363148379_S212_L001_R1_001.fastp.fastq.gz,363148379_R1,Fluorescent Quantification,20226,0.441122972,0.441122972
0363238231_S27_L001_R1_001.fastp.fastq.gz,363238231_R1,Fluorescent Quantification,20150,0.439465436,0.439465436
0363146839_S298_L001_R1_001.fastp.fastq.gz,363146839_R1,Fluorescent Quantification,19946,0.435016256,0.435016256
0363238213_S70_L001_R1_001.fastp.fastq.gz,363238213_R1,Fluorescent Quantification,19732,0.430348982,0.430348982
0363237588_S119_L001_R1_001.fastp.fastq.gz,363237588_R1,Fluorescent Quantification,19530,0.425943422,0.425943422
0363238269_S7_L001_R1_001.fastp.fastq.gz,363238269_R1,Fluorescent Quantification,19448,0.424155026,0.424155026
0363237168_S316_L001_R1_001.fastp.fastq.gz,363237168_R1,Fluorescent Quantification,19284,0.420578236,0.420578236
0363238252_S8_L001_R1_001.fastp.fastq.gz,363238252_R1,Fluorescent Quantification,19246,0.419749468,0.419749468
0363148438_S237_L001_R1_001.fastp.fastq.gz,363148438_R1,Fluorescent Quantification,19226,0.419313274,0.419313274
0363146954_S5_L001_R1_001.fastp.fastq.gz,363146954_R1,Fluorescent Quantification,19222,0.419226034,0.419226034
0363146921_S6_L001_R1_001.fastp.fastq.gz,363146921_R1,Fluorescent Quantification,19060,0.415692864,0.415692864
0363148434_S211_L001_R1_001.fastp.fastq.gz,363148434_R1,Fluorescent Quantification,19060,0.415692864,0.415692864
0363192129_S65_L001_R1_001.fastp.fastq.gz,363192129_R1,Fluorescent Quantification,18764,0.409237192,0.409237192
0363237580_S343_L001_R1_001.fastp.fastq.gz,363237580_R1,Fluorescent Quantification,18488,0.403217716,0.403217716
0363146961_S52_L001_R1_001.fastp.fastq.gz,363146961_R1,Fluorescent Quantification,18482,0.403086858,0.403086858
0363148436_S235_L001_R1_001.fastp.fastq.gz,363148436_R1,Fluorescent Quantification,18402,0.401342082,0.401342082
0363238280_S42_L001_R1_001.fastp.fastq.gz,363238280_R1,Fluorescent Quantification,18328,0.399728164,0.399728164
0363236857_S163_L001_R1_001.fastp.fastq.gz,363236857_R1,Fluorescent Quantification,18318,0.399510066,0.399510066
0363148376_S255_L001_R1_001.fastp.fastq.gz,363148376_R1,Fluorescent Quantification,18312,0.399379208,0.399379208
0363146705_S328_L001_R1_001.fastp.fastq.gz,363146705_R1,Fluorescent Quantification,18228,0.397547194,0.397547194
0363236798_S111_L001_R1_001.fastp.fastq.gz,363236798_R1,Fluorescent Quantification,17848,0.389259508,0.389259508
0363237883_S151_L001_R1_001.fastp.fastq.gz,363237883_R1,Fluorescent Quantification,17762,0.387383874,0.387383874
0363236829_S215_L001_R1_001.fastp.fastq.gz,363236829_R1,Fluorescent Quantification,17698,0.385988054,0.385988054
